"","diseaseId","targetId","datatypeId","datasourceId","score","evidenceCount"
"855519","MONDO_0015229","ENSG00000014641","genetic_association","eva",0.01215862,1
"855520","MONDO_0015229","ENSG00000054116","genetic_association","eva",0.4255516,1
"855522","MONDO_0015229","ENSG00000080200","genetic_association","eva",0.4255516,1
"855525","MONDO_0015229","ENSG00000111087","genetic_association","eva",0.1823792,1
"855528","MONDO_0015229","ENSG00000117020","genetic_association","eva",0.3085399,29
"855533","MONDO_0015229","ENSG00000128655","genetic_association","eva",0.01215862,1
"855534","MONDO_0015229","ENSG00000133641","genetic_association","eva",0.2942917,8
"855535","MONDO_0015229","ENSG00000135914","genetic_association","eva",0.1823792,1
"855538","MONDO_0015229","ENSG00000139324","genetic_association","eva",0.2431723,2
"855541","MONDO_0015229","ENSG00000148219","genetic_association","eva",0.9005043,403
"855543","MONDO_0015229","ENSG00000157796","genetic_association","eva",0.227974,2
"855544","MONDO_0015229","ENSG00000157992","genetic_association","eva",0.5471377,1
"855548","MONDO_0015229","ENSG00000163964","genetic_association","eva",0.5471377,1
"855551","MONDO_0015229","ENSG00000167419","genetic_association","eva",0.6634923,18
"855552","MONDO_0015229","ENSG00000173692","genetic_association","eva",0.1823792,1
"855554","MONDO_0015229","ENSG00000174165","genetic_association","eva",0.9383055,300
"855560","MONDO_0015229","ENSG00000254986","genetic_association","eva",0.4255516,1
"855944","MONDO_0015375","ENSG00000114446","genetic_association","eva",0.6789405,4
"855946","MONDO_0015375","ENSG00000164066","genetic_association","eva",0.7576979,6
"855948","MONDO_0015375","ENSG00000173011","genetic_association","eva",0.1823792,1
"855949","MONDO_0015375","ENSG00000173013","genetic_association","eva",0.1823792,1
"855982","MONDO_0015461","ENSG00000112144","genetic_association","eva",0.4255516,1
"855986","MONDO_0015461","ENSG00000132031","genetic_association","eva",0.01519827,2
"855988","MONDO_0015461","ENSG00000162769","genetic_association","eva",0.4255516,1
"855989","MONDO_0015461","ENSG00000164066","genetic_association","eva",0.5319394,2
"856134","MONDO_0015229","ENSG00000000971","animal_model","impc",0.2714411,1
"856135","MONDO_0015229","ENSG00000004478","animal_model","impc",0.3862252,3
"856136","MONDO_0015229","ENSG00000007062","animal_model","impc",0.439306,2
"856137","MONDO_0015229","ENSG00000007255","animal_model","impc",0.3130844,1
"856138","MONDO_0015229","ENSG00000007372","animal_model","impc",0.4921444,6
"856139","MONDO_0015229","ENSG00000012822","animal_model","impc",0.2958799,1
"856140","MONDO_0015229","ENSG00000039068","animal_model","impc",0.4408714,1
"856141","MONDO_0015229","ENSG00000039139","animal_model","impc",0.276183,1
"856142","MONDO_0015229","ENSG00000044115","animal_model","impc",0.3705338,2
"856143","MONDO_0015229","ENSG00000048342","animal_model","impc",0.2607415,1
"856144","MONDO_0015229","ENSG00000049130","animal_model","impc",0.2888279,1
"856145","MONDO_0015229","ENSG00000049449","animal_model","impc",0.2888887,1
"856146","MONDO_0015229","ENSG00000052126","animal_model","impc",0.2806816,1
"856148","MONDO_0015229","ENSG00000054598","animal_model","impc",0.3628739,2
"856149","MONDO_0015229","ENSG00000057608","animal_model","impc",0.3026887,1
"856150","MONDO_0015229","ENSG00000065154","animal_model","impc",0.340502,1
"856151","MONDO_0015229","ENSG00000065675","animal_model","impc",0.361962,1
"856152","MONDO_0015229","ENSG00000067082","animal_model","impc",0.3306536,1
"856153","MONDO_0015229","ENSG00000069869","animal_model","impc",0.333982,2
"856154","MONDO_0015229","ENSG00000070669","animal_model","impc",0.2599512,1
"856155","MONDO_0015229","ENSG00000070729","animal_model","impc",0.3757012,1
"856156","MONDO_0015229","ENSG00000072756","animal_model","impc",0.367555,2
"856157","MONDO_0015229","ENSG00000074621","animal_model","impc",0.3575697,2
"856158","MONDO_0015229","ENSG00000075539","animal_model","impc",0.2727178,1
"856159","MONDO_0015229","ENSG00000075891","animal_model","impc",0.4537419,5
"856160","MONDO_0015229","ENSG00000080166","animal_model","impc",0.3655488,1
"856161","MONDO_0015229","ENSG00000080503","animal_model","impc",0.5357339,3
"856162","MONDO_0015229","ENSG00000080819","animal_model","impc",0.2646323,1
"856163","MONDO_0015229","ENSG00000080824","animal_model","impc",0.2873081,1
"856164","MONDO_0015229","ENSG00000083067","animal_model","impc",0.2835389,1
"856165","MONDO_0015229","ENSG00000084207","animal_model","impc",0.413317,2
"856166","MONDO_0015229","ENSG00000085377","animal_model","impc",0.3306536,1
"856167","MONDO_0015229","ENSG00000089225","animal_model","impc",0.2544798,1
"856168","MONDO_0015229","ENSG00000091831","animal_model","impc",0.3763852,3
"856169","MONDO_0015229","ENSG00000095015","animal_model","impc",0.2946641,1
"856170","MONDO_0015229","ENSG00000100068","animal_model","impc",0.5055177,4
"856171","MONDO_0015229","ENSG00000100234","animal_model","impc",0.3608069,2
"856172","MONDO_0015229","ENSG00000101076","animal_model","impc",0.2626869,1
"856173","MONDO_0015229","ENSG00000101440","animal_model","impc",0.420705,3
"856174","MONDO_0015229","ENSG00000101680","animal_model","impc",0.3405324,2
"856175","MONDO_0015229","ENSG00000101850","animal_model","impc",0.3655488,1
"856176","MONDO_0015229","ENSG00000102001","animal_model","impc",0.4549412,4
"856177","MONDO_0015229","ENSG00000102104","animal_model","impc",0.5177122,3
"856178","MONDO_0015229","ENSG00000102312","animal_model","impc",0.3769323,2
"856179","MONDO_0015229","ENSG00000102781","animal_model","impc",0.2862138,1
"856180","MONDO_0015229","ENSG00000102878","animal_model","impc",0.3724944,2
"856181","MONDO_0015229","ENSG00000104331","animal_model","impc",0.3306536,1
"856182","MONDO_0015229","ENSG00000104818","animal_model","impc",0.4474035,6
"856183","MONDO_0015229","ENSG00000104826","animal_model","impc",0.4474035,6
"856184","MONDO_0015229","ENSG00000104827","animal_model","impc",0.4474035,6
"856185","MONDO_0015229","ENSG00000105370","animal_model","impc",0.3519463,2
"856186","MONDO_0015229","ENSG00000105392","animal_model","impc",0.4884555,3
"856187","MONDO_0015229","ENSG00000105429","animal_model","impc",0.3805068,4
"856188","MONDO_0015229","ENSG00000105618","animal_model","impc",0.3646977,1
"856189","MONDO_0015229","ENSG00000105700","animal_model","impc",0.28822,1
"856190","MONDO_0015229","ENSG00000105738","animal_model","impc",0.2705292,1
"856191","MONDO_0015229","ENSG00000105877","animal_model","impc",0.3484355,2
"856192","MONDO_0015229","ENSG00000105948","animal_model","impc",0.2807424,1
"856193","MONDO_0015229","ENSG00000106031","animal_model","impc",0.4081917,6
"856194","MONDO_0015229","ENSG00000106571","animal_model","impc",0.4823703,17
"856195","MONDO_0015229","ENSG00000106633","animal_model","impc",0.2645107,1
"856196","MONDO_0015229","ENSG00000107679","animal_model","impc",0.3306536,1
"856197","MONDO_0015229","ENSG00000107816","animal_model","impc",0.2791618,1
"856198","MONDO_0015229","ENSG00000108465","animal_model","impc",0.2918676,1
"856199","MONDO_0015229","ENSG00000108557","animal_model","impc",0.260316,1
"856200","MONDO_0015229","ENSG00000109103","animal_model","impc",0.3609893,1
"856201","MONDO_0015229","ENSG00000109163","animal_model","impc",0.4881533,12
"856202","MONDO_0015229","ENSG00000109572","animal_model","impc",0.2562428,1
"856203","MONDO_0015229","ENSG00000109906","animal_model","impc",0.5413715,20
"856204","MONDO_0015229","ENSG00000110395","animal_model","impc",0.2707724,1
"856205","MONDO_0015229","ENSG00000110435","animal_model","impc",0.2977645,1
"856206","MONDO_0015229","ENSG00000110756","animal_model","impc",0.3474325,1
"856207","MONDO_0015229","ENSG00000111276","animal_model","impc",0.4280599,7
"856208","MONDO_0015229","ENSG00000111554","animal_model","impc",0.4597662,3
"856209","MONDO_0015229","ENSG00000112041","animal_model","impc",0.4977113,4
"856210","MONDO_0015229","ENSG00000112242","animal_model","impc",0.2643891,1
"856211","MONDO_0015229","ENSG00000112246","animal_model","impc",0.3318998,2
"856212","MONDO_0015229","ENSG00000112333","animal_model","impc",0.2893143,1
"856213","MONDO_0015229","ENSG00000112619","animal_model","impc",0.5763956,6
"856214","MONDO_0015229","ENSG00000113070","animal_model","impc",0.2524129,1
"856215","MONDO_0015229","ENSG00000113140","animal_model","impc",0.2837213,1
"856216","MONDO_0015229","ENSG00000113141","animal_model","impc",0.2863354,1
"856217","MONDO_0015229","ENSG00000113739","animal_model","impc",0.4005436,3
"856218","MONDO_0015229","ENSG00000114023","animal_model","impc",0.2680367,1
"856219","MONDO_0015229","ENSG00000114391","animal_model","impc",0.3491043,2
"856220","MONDO_0015229","ENSG00000115138","animal_model","impc",0.6782807,7
"856221","MONDO_0015229","ENSG00000115380","animal_model","impc",0.4293545,3
